============================================================
Configurazione : shallow_high
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca  200 | train 0.58480 | val 0.58110 | AUC 0.7639 | lr 0.01767 | mom 0.990 | 61.4 min
epoca  201 | train 0.58501 | val 0.57565 | AUC 0.7662 | lr 0.01758 | mom 0.990 | 61.6 min

Fermato: nessun miglioramento da 10 epoche.

Migliore perdita di validation: 0.57036
Tempo totale: 61.6 min

[seme 2] TEST: perdita 0.57070, AUC 0.7697

------------------------------------------------------------
[seme 3] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca    1 | train 0.60902 | val 0.58766 | AUC 0.7530 | lr 0.04974 | mom 0.900 | 0.2 min
epoca    2 | train 0.58664 | val 0.58437 | AUC 0.7618 | lr 0.04948 | mom 0.900 | 0.5 min
epoca    3 | train 0.58013 | val 0.57703 | AUC 0.7666 | lr 0.04923 | mom 0.901 | 0.7 min
epoca    4 | train 0.57731 | val 0.57391 | AUC 0.7665 | lr 0.04897 | mom 0.901 | 1.0 min
epoca    5 | train 0.57622 | val 0.57421 | AUC 0.7671 | lr 0.04872 | mom 0.902 | 1.3 min
epoca    6 | train 0.57569 | val 0.57453 | AUC 0.7691 | lr 0.04846 | mom 0.902 | 1.5 min
epoca    7 | train 0.57544 | val 0.57198 | AUC 0.7692 | lr 0.04821 | mom 0.903 | 1.7 min
epoca    8 | train 0.57565 | val 0.57474 | AUC 0.7696 | lr 0.04796 | mom 0.903 | 2.0 min
epoca    9 | train 0.57517 | val 0.58386 | AUC 0.7691 | lr 0.04771 | mom 0.904 | 2.3 min
epoca   10 | train 0.57524 | val 0.57139 | AUC 0.7689 | lr 0.04747 | mom 0.904 | 2.5 min
epoca   11 | train 0.57531 | val 0.57330 | AUC 0.7675 | lr 0.04722 | mom 0.904 | 2.8 min
epoca   12 | train 0.57508 | val 0.57481 | AUC 0.7692 | lr 0.04698 | mom 0.905 | 3.0 min
epoca   13 | train 0.57518 | val 0.57263 | AUC 0.7683 | lr 0.04673 | mom 0.905 | 3.2 min
epoca   14 | train 0.57500 | val 0.58482 | AUC 0.7665 | lr 0.04649 | mom 0.906 | 3.5 min
epoca   15 | train 0.57504 | val 0.57378 | AUC 0.7671 | lr 0.04625 | mom 0.906 | 3.7 min
epoca   16 | train 0.57516 | val 0.57187 | AUC 0.7689 | lr 0.04601 | mom 0.907 | 4.0 min
epoca   17 | train 0.57504 | val 0.57131 | AUC 0.7696 | lr 0.04577 | mom 0.907 | 4.2 min
epoca   18 | train 0.57503 | val 0.58287 | AUC 0.7673 | lr 0.04553 | mom 0.908 | 4.5 min
epoca   19 | train 0.57508 | val 0.57382 | AUC 0.7675 | lr 0.04530 | mom 0.908 | 4.7 min
epoca   20 | train 0.57503 | val 0.57246 | AUC 0.7680 | lr 0.04506 | mom 0.909 | 5.0 min
epoca   21 | train 0.57504 | val 0.57213 | AUC 0.7688 | lr 0.04483 | mom 0.909 | 5.2 min
epoca   22 | train 0.57510 | val 0.57509 | AUC 0.7651 | lr 0.04460 | mom 0.909 | 5.5 min
