============================================================
Configurazione : deep_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_complete_seme0

epoca  175 | train 0.43895 | val 0.44525 | AUC 0.8734 | lr 0.001510 | mom 0.978 | 247.8 min
epoca  176 | train 0.43899 | val 0.44027 | AUC 0.8743 | lr 0.001480 | mom 0.979 | 249.2 min
epoca  177 | train 0.43904 | val 0.44230 | AUC 0.8733 | lr 0.001451 | mom 0.979 | 250.7 min
epoca  178 | train 0.43899 | val 0.44167 | AUC 0.8741 | lr 0.001422 | mom 0.980 | 252.1 min
epoca  179 | train 0.43900 | val 0.44883 | AUC 0.8729 | lr 0.001394 | mom 0.980 | 253.5 min
epoca  180 | train 0.43901 | val 0.44223 | AUC 0.8737 | lr 0.001366 | mom 0.981 | 254.9 min
epoca  181 | train 0.43901 | val 0.44525 | AUC 0.8715 | lr 0.001339 | mom 0.981 | 256.3 min
epoca  182 | train 0.43903 | val 0.44082 | AUC 0.8740 | lr 0.001313 | mom 0.981 | 257.7 min
epoca  183 | train 0.43902 | val 0.44104 | AUC 0.8740 | lr 0.001287 | mom 0.982 | 259.2 min
epoca  184 | train 0.43904 | val 0.44598 | AUC 0.8727 | lr 0.001261 | mom 0.982 | 260.6 min
epoca  185 | train 0.43912 | val 0.44130 | AUC 0.8738 | lr 0.001236 | mom 0.983 | 262.0 min
epoca  186 | train 0.43916 | val 0.44323 | AUC 0.8731 | lr 0.001212 | mom 0.983 | 263.4 min
epoca  187 | train 0.43918 | val 0.44084 | AUC 0.8742 | lr 0.001188 | mom 0.984 | 264.8 min
epoca  188 | train 0.43925 | val 0.44035 | AUC 0.8744 | lr 0.001164 | mom 0.984 | 266.2 min
epoca  189 | train 0.43937 | val 0.44330 | AUC 0.8731 | lr 0.001141 | mom 0.985 | 267.7 min
epoca  190 | train 0.43948 | val 0.44455 | AUC 0.8726 | lr 0.001119 | mom 0.985 | 269.1 min
