============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca  101 | train 0.62648 | val 0.62640 | AUC 0.7021 | lr 0.006633 | mom 0.945 | 131.8 min
epoca  102 | train 0.62647 | val 0.62580 | AUC 0.7017 | lr 0.006501 | mom 0.945 | 133.1 min
epoca  103 | train 0.62646 | val 0.62650 | AUC 0.7018 | lr 0.006373 | mom 0.946 | 134.4 min
epoca  104 | train 0.62635 | val 0.62633 | AUC 0.7011 | lr 0.006247 | mom 0.946 | 135.7 min
epoca  105 | train 0.62637 | val 0.62755 | AUC 0.7000 | lr 0.006123 | mom 0.947 | 137.0 min
epoca  106 | train 0.62630 | val 0.62660 | AUC 0.7007 | lr 0.006002 | mom 0.947 | 138.3 min
epoca  107 | train 0.62628 | val 0.62548 | AUC 0.7025 | lr 0.005883 | mom 0.948 | 139.6 min
epoca  108 | train 0.62622 | val 0.62555 | AUC 0.7016 | lr 0.005766 | mom 0.948 | 141.0 min
epoca  109 | train 0.62622 | val 0.62658 | AUC 0.7026 | lr 0.005652 | mom 0.949 | 142.4 min
epoca  110 | train 0.62615 | val 0.62667 | AUC 0.7001 | lr 0.005540 | mom 0.949 | 143.7 min
epoca  111 | train 0.62613 | val 0.62765 | AUC 0.6989 | lr 0.005430 | mom 0.950 | 145.0 min
epoca  112 | train 0.62608 | val 0.62490 | AUC 0.7037 | lr 0.005323 | mom 0.950 | 146.4 min
epoca  113 | train 0.62603 | val 0.62575 | AUC 0.7025 | lr 0.005218 | mom 0.950 | 147.7 min
epoca  114 | train 0.62603 | val 0.62468 | AUC 0.7032 | lr 0.005114 | mom 0.951 | 149.0 min
epoca  115 | train 0.62598 | val 0.62532 | AUC 0.7034 | lr 0.005013 | mom 0.951 | 150.4 min
epoca  116 | train 0.62595 | val 0.62720 | AUC 0.7027 | lr 0.004914 | mom 0.952 | 151.8 min
epoca  117 | train 0.62590 | val 0.62594 | AUC 0.7024 | lr 0.004816 | mom 0.952 | 153.1 min
epoca  118 | train 0.62589 | val 0.62445 | AUC 0.7039 | lr 0.004721 | mom 0.953 | 154.4 min
epoca  119 | train 0.62587 | val 0.62440 | AUC 0.7038 | lr 0.004628 | mom 0.953 | 155.8 min
epoca  120 | train 0.62582 | val 0.62391 | AUC 0.7043 | lr 0.004536 | mom 0.954 | 157.1 min
epoca  121 | train 0.62577 | val 0.62485 | AUC 0.7030 | lr 0.004446 | mom 0.954 | 158.4 min
epoca  122 | train 0.62577 | val 0.62527 | AUC 0.7020 | lr 0.004358 | mom 0.954 | 159.8 min
epoca  123 | train 0.62575 | val 0.62563 | AUC 0.7020 | lr 0.004272 | mom 0.955 | 161.1 min
epoca  124 | train 0.62570 | val 0.62698 | AUC 0.7017 | lr 0.004187 | mom 0.955 | 162.4 min
epoca  125 | train 0.62572 | val 0.62446 | AUC 0.7039 | lr 0.004104 | mom 0.956 | 163.7 min
epoca  126 | train 0.62568 | val 0.62433 | AUC 0.7035 | lr 0.004023 | mom 0.956 | 165.0 min
epoca  127 | train 0.62562 | val 0.62627 | AUC 0.7007 | lr 0.003943 | mom 0.957 | 166.4 min
epoca  128 | train 0.62562 | val 0.62451 | AUC 0.7035 | lr 0.003865 | mom 0.957 | 167.7 min
