============================================================
Configurazione : deep_high
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : high  (7 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_high_seme0

epoca  158 | train 0.54146 | val 0.54130 | AUC 0.7963 | lr 0.002121 | mom 0.971 | 223.8 min
epoca  159 | train 0.54148 | val 0.54069 | AUC 0.7966 | lr 0.002079 | mom 0.971 | 225.2 min
epoca  160 | train 0.54149 | val 0.54176 | AUC 0.7961 | lr 0.002038 | mom 0.972 | 226.6 min
epoca  161 | train 0.54153 | val 0.54064 | AUC 0.7968 | lr 0.001998 | mom 0.972 | 228.0 min
epoca  162 | train 0.54147 | val 0.54005 | AUC 0.7972 | lr 0.001958 | mom 0.972 | 229.4 min
epoca  163 | train 0.54143 | val 0.54065 | AUC 0.7966 | lr 0.001919 | mom 0.973 | 230.9 min
epoca  164 | train 0.54144 | val 0.54041 | AUC 0.7974 | lr 0.001881 | mom 0.973 | 232.3 min
epoca  165 | train 0.54142 | val 0.54026 | AUC 0.7970 | lr 0.001844 | mom 0.974 | 233.7 min
epoca  166 | train 0.54138 | val 0.54075 | AUC 0.7968 | lr 0.001808 | mom 0.974 | 235.1 min
epoca  167 | train 0.54144 | val 0.54179 | AUC 0.7969 | lr 0.001772 | mom 0.975 | 236.5 min
epoca  168 | train 0.54140 | val 0.54234 | AUC 0.7954 | lr 0.001737 | mom 0.975 | 237.9 min
epoca  169 | train 0.54138 | val 0.54041 | AUC 0.7972 | lr 0.001702 | mom 0.976 | 239.4 min
epoca  170 | train 0.54137 | val 0.54007 | AUC 0.7971 | lr 0.001669 | mom 0.976 | 240.8 min
epoca  171 | train 0.54140 | val 0.53990 | AUC 0.7975 | lr 0.001636 | mom 0.977 | 242.2 min
epoca  172 | train 0.54141 | val 0.53950 | AUC 0.7978 | lr 0.001603 | mom 0.977 | 243.6 min
epoca  173 | train 0.54137 | val 0.54096 | AUC 0.7962 | lr 0.001571 | mom 0.977 | 245.0 min
epoca  174 | train 0.54137 | val 0.54185 | AUC 0.7958 | lr 0.001540 | mom 0.978 | 246.5 min
epoca  175 | train 0.54140 | val 0.54129 | AUC 0.7959 | lr 0.001510 | mom 0.978 | 247.9 min
epoca  176 | train 0.54141 | val 0.54023 | AUC 0.7970 | lr 0.001480 | mom 0.979 | 249.3 min
epoca  177 | train 0.54142 | val 0.54004 | AUC 0.7972 | lr 0.001451 | mom 0.979 | 250.7 min
epoca  178 | train 0.54143 | val 0.54052 | AUC 0.7972 | lr 0.001422 | mom 0.980 | 252.1 min
epoca  179 | train 0.54138 | val 0.54084 | AUC 0.7965 | lr 0.001394 | mom 0.980 | 253.5 min
epoca  180 | train 0.54141 | val 0.54128 | AUC 0.7965 | lr 0.001366 | mom 0.981 | 254.9 min
epoca  181 | train 0.54137 | val 0.54140 | AUC 0.7959 | lr 0.001339 | mom 0.981 | 256.4 min
epoca  182 | train 0.54144 | val 0.53936 | AUC 0.7979 | lr 0.001313 | mom 0.981 | 257.8 min
epoca  183 | train 0.54144 | val 0.54139 | AUC 0.7962 | lr 0.001287 | mom 0.982 | 259.2 min
epoca  184 | train 0.54144 | val 0.54106 | AUC 0.7965 | lr 0.001261 | mom 0.982 | 260.6 min
epoca  185 | train 0.54145 | val 0.53980 | AUC 0.7974 | lr 0.001236 | mom 0.983 | 262.0 min
epoca  186 | train 0.54148 | val 0.54007 | AUC 0.7971 | lr 0.001212 | mom 0.983 | 263.5 min
epoca  187 | train 0.54150 | val 0.54036 | AUC 0.7972 | lr 0.001188 | mom 0.984 | 264.9 min
epoca  188 | train 0.54156 | val 0.54021 | AUC 0.7973 | lr 0.001164 | mom 0.984 | 266.3 min
epoca  189 | train 0.54153 | val 0.54132 | AUC 0.7963 | lr 0.001141 | mom 0.985 | 267.7 min
epoca  190 | train 0.54161 | val 0.54146 | AUC 0.7963 | lr 0.001119 | mom 0.985 | 269.1 min
epoca  191 | train 0.54153 | val 0.53974 | AUC 0.7977 | lr 0.001096 | mom 0.986 | 270.5 min
epoca  192 | train 0.54164 | val 0.54152 | AUC 0.7976 | lr 0.001075 | mom 0.986 | 272.0 min
epoca  193 | train 0.54165 | val 0.54178 | AUC 0.7967 | lr 0.001053 | mom 0.986 | 273.4 min
epoca  194 | train 0.54173 | val 0.54099 | AUC 0.7964 | lr 0.001033 | mom 0.987 | 274.8 min
epoca  195 | train 0.54169 | val 0.53913 | AUC 0.7979 | lr 0.001012 | mom 0.987 | 276.2 min
epoca  196 | train 0.54179 | val 0.54166 | AUC 0.7965 | lr 0.000992 | mom 0.988 | 277.6 min
epoca  197 | train 0.54176 | val 0.54185 | AUC 0.7954 | lr 0.000972 | mom 0.988 | 279.0 min
epoca  198 | train 0.54186 | val 0.54106 | AUC 0.7970 | lr 0.000953 | mom 0.989 | 280.5 min
epoca  199 | train 0.54192 | val 0.54005 | AUC 0.7973 | lr 0.000934 | mom 0.989 | 281.9 min
epoca  200 | train 0.54196 | val 0.54197 | AUC 0.7965 | lr 0.000916 | mom 0.990 | 283.3 min
epoca  201 | train 0.54206 | val 0.54074 | AUC 0.7970 | lr 0.000898 | mom 0.990 | 284.7 min
epoca  202 | train 0.54200 | val 0.54121 | AUC 0.7964 | lr 0.000880 | mom 0.990 | 285.5 min
epoca  203 | train 0.54189 | val 0.54069 | AUC 0.7970 | lr 0.000862 | mom 0.990 | 286.3 min
epoca  204 | train 0.54182 | val 0.54179 | AUC 0.7963 | lr 0.000845 | mom 0.990 | 287.2 min
epoca  205 | train 0.54178 | val 0.54090 | AUC 0.7973 | lr 0.000829 | mom 0.990 | 288.0 min

