============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca  103 | train 0.46404 | val 0.46536 | AUC 0.8584 | lr 0.006373 | mom 0.946 | 145.9 min
epoca  104 | train 0.46384 | val 0.46510 | AUC 0.8585 | lr 0.006247 | mom 0.946 | 147.3 min
epoca  105 | train 0.46347 | val 0.46505 | AUC 0.8582 | lr 0.006123 | mom 0.947 | 148.7 min
epoca  106 | train 0.46320 | val 0.46213 | AUC 0.8607 | lr 0.006002 | mom 0.947 | 150.1 min
epoca  107 | train 0.46277 | val 0.46769 | AUC 0.8587 | lr 0.005883 | mom 0.948 | 151.5 min
epoca  108 | train 0.46246 | val 0.46355 | AUC 0.8600 | lr 0.005766 | mom 0.948 | 152.9 min
epoca  109 | train 0.46208 | val 0.46300 | AUC 0.8607 | lr 0.005652 | mom 0.949 | 154.4 min
epoca  110 | train 0.46188 | val 0.46389 | AUC 0.8596 | lr 0.005540 | mom 0.949 | 155.8 min
epoca  111 | train 0.46149 | val 0.46698 | AUC 0.8599 | lr 0.005430 | mom 0.950 | 157.2 min
epoca  112 | train 0.46127 | val 0.46043 | AUC 0.8621 | lr 0.005323 | mom 0.950 | 158.6 min
epoca  113 | train 0.46110 | val 0.46282 | AUC 0.8596 | lr 0.005218 | mom 0.950 | 160.0 min
epoca  114 | train 0.46078 | val 0.46165 | AUC 0.8614 | lr 0.005114 | mom 0.951 | 161.4 min
epoca  115 | train 0.46047 | val 0.46247 | AUC 0.8604 | lr 0.005013 | mom 0.951 | 162.9 min
epoca  116 | train 0.46031 | val 0.46165 | AUC 0.8612 | lr 0.004914 | mom 0.952 | 164.3 min
