============================================================
Configurazione : deep_low
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_low_seme0

epoca  116 | train 0.46732 | val 0.46890 | AUC 0.8559 | lr 0.000004 | mom 0.900 | 209.3 min
epoca  117 | train 0.46748 | val 0.46907 | AUC 0.8557 | lr 0.000002 | mom 0.900 | 210.5 min
epoca  118 | train 0.46728 | val 0.46882 | AUC 0.8559 | lr 0.000002 | mom 0.900 | 211.8 min
epoca  119 | train 0.46708 | val 0.46870 | AUC 0.8559 | lr 0.000002 | mom 0.900 | 213.1 min
epoca  120 | train 0.46692 | val 0.46853 | AUC 0.8560 | lr 0.000002 | mom 0.900 | 214.3 min
epoca  121 | train 0.46677 | val 0.46842 | AUC 0.8561 | lr 0.000002 | mom 0.900 | 215.6 min
epoca  122 | train 0.46663 | val 0.46830 | AUC 0.8561 | lr 0.000002 | mom 0.900 | 216.8 min
epoca  123 | train 0.46651 | val 0.46819 | AUC 0.8562 | lr 0.000002 | mom 0.900 | 218.1 min
epoca  124 | train 0.46639 | val 0.46805 | AUC 0.8563 | lr 0.000002 | mom 0.900 | 219.4 min
epoca  125 | train 0.46628 | val 0.46798 | AUC 0.8563 | lr 0.000002 | mom 0.900 | 220.7 min
epoca  126 | train 0.46618 | val 0.46788 | AUC 0.8564 | lr 0.000002 | mom 0.900 | 221.8 min
epoca  127 | train 0.46608 | val 0.46783 | AUC 0.8564 | lr 0.000002 | mom 0.900 | 222.8 min
epoca  128 | train 0.46599 | val 0.46773 | AUC 0.8565 | lr 0.000002 | mom 0.900 | 223.8 min
epoca  129 | train 0.46590 | val 0.46772 | AUC 0.8564 | lr 0.000002 | mom 0.900 | 224.8 min
epoca  130 | train 0.46582 | val 0.46759 | AUC 0.8565 | lr 0.000002 | mom 0.900 | 225.8 min
epoca  131 | train 0.46575 | val 0.46754 | AUC 0.8566 | lr 0.000002 | mom 0.900 | 226.8 min
epoca  132 | train 0.46567 | val 0.46749 | AUC 0.8566 | lr 0.000002 | mom 0.900 | 227.8 min
epoca  133 | train 0.46560 | val 0.46745 | AUC 0.8566 | lr 0.000002 | mom 0.900 | 228.8 min
epoca  134 | train 0.46554 | val 0.46738 | AUC 0.8567 | lr 0.000002 | mom 0.900 | 229.8 min
epoca  135 | train 0.46547 | val 0.46729 | AUC 0.8567 | lr 0.000002 | mom 0.900 | 230.7 min
epoca  136 | train 0.46541 | val 0.46727 | AUC 0.8567 | lr 0.000002 | mom 0.900 | 231.7 min
epoca  137 | train 0.46535 | val 0.46723 | AUC 0.8568 | lr 0.000002 | mom 0.900 | 232.7 min
epoca  138 | train 0.46530 | val 0.46719 | AUC 0.8568 | lr 0.000002 | mom 0.900 | 233.7 min
