============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [2, 3, 4, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme2

epoca   85 | train 0.51297 | val 0.51730 | AUC 0.8222 | lr 0.032137 | mom 0.938 | 24.4 min
epoca   86 | train 0.51292 | val 0.51501 | AUC 0.8229 | lr 0.031971 | mom 0.938 | 24.7 min
epoca   87 | train 0.51285 | val 0.51668 | AUC 0.8216 | lr 0.031805 | mom 0.939 | 25.0 min
epoca   88 | train 0.51301 | val 0.51862 | AUC 0.8194 | lr 0.031640 | mom 0.939 | 25.3 min
epoca   89 | train 0.51337 | val 0.52561 | AUC 0.8204 | lr 0.031476 | mom 0.940 | 25.6 min
epoca   90 | train 0.51304 | val 0.51436 | AUC 0.8217 | lr 0.031313 | mom 0.940 | 25.9 min
epoca   91 | train 0.51297 | val 0.51583 | AUC 0.8218 | lr 0.031150 | mom 0.941 | 26.2 min
epoca   92 | train 0.51296 | val 0.51415 | AUC 0.8225 | lr 0.030989 | mom 0.941 | 26.5 min
epoca   93 | train 0.51303 | val 0.51653 | AUC 0.8198 | lr 0.030828 | mom 0.941 | 26.8 min
epoca   94 | train 0.51299 | val 0.51976 | AUC 0.8171 | lr 0.030668 | mom 0.942 | 27.0 min
epoca   95 | train 0.51301 | val 0.51628 | AUC 0.8208 | lr 0.030509 | mom 0.942 | 27.3 min
epoca   96 | train 0.51295 | val 0.52575 | AUC 0.8187 | lr 0.030351 | mom 0.943 | 27.6 min
epoca   97 | train 0.51315 | val 0.51826 | AUC 0.8221 | lr 0.030193 | mom 0.943 | 27.9 min
epoca   98 | train 0.51303 | val 0.51623 | AUC 0.8226 | lr 0.030037 | mom 0.944 | 28.2 min
epoca   99 | train 0.51312 | val 0.51689 | AUC 0.8215 | lr 0.029881 | mom 0.944 | 28.5 min
epoca  100 | train 0.51301 | val 0.51568 | AUC 0.8212 | lr 0.029726 | mom 0.945 | 28.8 min
epoca  101 | train 0.51298 | val 0.51540 | AUC 0.8215 | lr 0.029572 | mom 0.945 | 29.1 min
epoca  102 | train 0.51292 | val 0.51494 | AUC 0.8209 | lr 0.029418 | mom 0.945 | 29.4 min
epoca  103 | train 0.51318 | val 0.51551 | AUC 0.8210 | lr 0.029266 | mom 0.946 | 29.6 min
epoca  104 | train 0.51344 | val 0.52230 | AUC 0.8185 | lr 0.029114 | mom 0.946 | 29.9 min
epoca  105 | train 0.51329 | val 0.51779 | AUC 0.8222 | lr 0.028963 | mom 0.947 | 30.2 min
epoca  106 | train 0.51365 | val 0.51740 | AUC 0.8223 | lr 0.028813 | mom 0.947 | 30.5 min
epoca  107 | train 0.51328 | val 0.51470 | AUC 0.8225 | lr 0.028663 | mom 0.948 | 30.8 min
epoca  108 | train 0.51378 | val 0.51614 | AUC 0.8208 | lr 0.028515 | mom 0.948 | 31.1 min
epoca  109 | train 0.51354 | val 0.51871 | AUC 0.8241 | lr 0.028367 | mom 0.949 | 31.4 min
epoca  110 | train 0.51383 | val 0.51601 | AUC 0.8212 | lr 0.028220 | mom 0.949 | 31.7 min
epoca  111 | train 0.51378 | val 0.51671 | AUC 0.8233 | lr 0.028073 | mom 0.950 | 32.0 min
epoca  112 | train 0.51395 | val 0.51510 | AUC 0.8216 | lr 0.027928 | mom 0.950 | 32.3 min
epoca  113 | train 0.51407 | val 0.52235 | AUC 0.8212 | lr 0.027783 | mom 0.950 | 32.5 min
epoca  114 | train 0.51376 | val 0.51799 | AUC 0.8208 | lr 0.027639 | mom 0.951 | 32.8 min
epoca  115 | train 0.51426 | val 0.51519 | AUC 0.8217 | lr 0.027496 | mom 0.951 | 33.1 min
epoca  116 | train 0.51428 | val 0.52315 | AUC 0.8223 | lr 0.027353 | mom 0.952 | 33.4 min
epoca  117 | train 0.51471 | val 0.51510 | AUC 0.8219 | lr 0.027211 | mom 0.952 | 33.7 min
epoca  118 | train 0.51489 | val 0.52454 | AUC 0.8207 | lr 0.027070 | mom 0.953 | 34.0 min
epoca  119 | train 0.51464 | val 0.51544 | AUC 0.8225 | lr 0.026930 | mom 0.953 | 34.3 min
epoca  120 | train 0.51500 | val 0.52048 | AUC 0.8176 | lr 0.026790 | mom 0.954 | 34.5 min
epoca  121 | train 0.51515 | val 0.51478 | AUC 0.8229 | lr 0.026651 | mom 0.954 | 34.8 min
epoca  122 | train 0.51490 | val 0.52211 | AUC 0.8181 | lr 0.026513 | mom 0.954 | 35.1 min
epoca  123 | train 0.51509 | val 0.51915 | AUC 0.8207 | lr 0.026375 | mom 0.955 | 35.4 min
epoca  124 | train 0.51516 | val 0.51700 | AUC 0.8217 | lr 0.026238 | mom 0.955 | 35.7 min
epoca  125 | train 0.51551 | val 0.51521 | AUC 0.8217 | lr 0.026102 | mom 0.956 | 36.0 min
epoca  126 | train 0.51547 | val 0.52002 | AUC 0.8175 | lr 0.025967 | mom 0.956 | 36.3 min
epoca  127 | train 0.51584 | val 0.52370 | AUC 0.8172 | lr 0.025832 | mom 0.957 | 36.6 min
epoca  128 | train 0.51577 | val 0.51508 | AUC 0.8218 | lr 0.025698 | mom 0.957 | 36.9 min
epoca  129 | train 0.51613 | val 0.52705 | AUC 0.8202 | lr 0.025565 | mom 0.958 | 37.1 min
epoca  130 | train 0.51657 | val 0.54108 | AUC 0.8163 | lr 0.025432 | mom 0.958 | 37.4 min
epoca  131 | train 0.51670 | val 0.51823 | AUC 0.8191 | lr 0.025300 | mom 0.959 | 37.7 min
epoca  132 | train 0.51675 | val 0.52046 | AUC 0.8167 | lr 0.025169 | mom 0.959 | 38.0 min
epoca  133 | train 0.51713 | val 0.51866 | AUC 0.8206 | lr 0.025039 | mom 0.959 | 38.3 min
epoca  134 | train 0.51753 | val 0.52307 | AUC 0.8193 | lr 0.024909 | mom 0.960 | 38.6 min
epoca  135 | train 0.51754 | val 0.52249 | AUC 0.8196 | lr 0.024780 | mom 0.960 | 38.9 min
epoca  136 | train 0.51794 | val 0.52408 | AUC 0.8180 | lr 0.024651 | mom 0.961 | 39.2 min
epoca  137 | train 0.51804 | val 0.52798 | AUC 0.8158 | lr 0.024523 | mom 0.961 | 39.5 min
epoca  138 | train 0.51861 | val 0.53244 | AUC 0.8160 | lr 0.024396 | mom 0.962 | 39.7 min
epoca  139 | train 0.51857 | val 0.52760 | AUC 0.8205 | lr 0.024270 | mom 0.962 | 40.0 min
epoca  140 | train 0.51878 | val 0.52414 | AUC 0.8190 | lr 0.024144 | mom 0.963 | 40.3 min
epoca  141 | train 0.51870 | val 0.51854 | AUC 0.8195 | lr 0.024018 | mom 0.963 | 40.6 min
epoca  142 | train 0.51941 | val 0.51955 | AUC 0.8181 | lr 0.023894 | mom 0.963 | 40.9 min
epoca  143 | train 0.51972 | val 0.52368 | AUC 0.8206 | lr 0.023770 | mom 0.964 | 41.2 min
epoca  144 | train 0.52024 | val 0.52549 | AUC 0.8186 | lr 0.023647 | mom 0.964 | 41.5 min
epoca  145 | train 0.52033 | val 0.53258 | AUC 0.8144 | lr 0.023524 | mom 0.965 | 41.8 min
epoca  146 | train 0.52072 | val 0.52448 | AUC 0.8132 | lr 0.023402 | mom 0.965 | 42.1 min
epoca  147 | train 0.52058 | val 0.52343 | AUC 0.8145 | lr 0.023281 | mom 0.966 | 42.3 min
epoca  148 | train 0.52158 | val 0.52397 | AUC 0.8160 | lr 0.023160 | mom 0.966 | 42.6 min
epoca  149 | train 0.52185 | val 0.52346 | AUC 0.8171 | lr 0.023040 | mom 0.967 | 42.9 min
epoca  150 | train 0.52203 | val 0.52709 | AUC 0.8182 | lr 0.022920 | mom 0.967 | 43.2 min
epoca  151 | train 0.52262 | val 0.54076 | AUC 0.8089 | lr 0.022801 | mom 0.968 | 43.5 min
epoca  152 | train 0.52279 | val 0.52800 | AUC 0.8138 | lr 0.022683 | mom 0.968 | 43.8 min
epoca  153 | train 0.52364 | val 0.53087 | AUC 0.8143 | lr 0.022566 | mom 0.968 | 44.1 min
epoca  154 | train 0.52468 | val 0.52431 | AUC 0.8156 | lr 0.022448 | mom 0.969 | 44.4 min
epoca  155 | train 0.52437 | val 0.52389 | AUC 0.8153 | lr 0.022332 | mom 0.969 | 44.7 min
epoca  156 | train 0.52517 | val 0.52249 | AUC 0.8173 | lr 0.022216 | mom 0.970 | 44.9 min
epoca  157 | train 0.52523 | val 0.52688 | AUC 0.8127 | lr 0.022101 | mom 0.970 | 45.2 min
epoca  158 | train 0.52596 | val 0.52291 | AUC 0.8166 | lr 0.021986 | mom 0.971 | 45.5 min
epoca  159 | train 0.52666 | val 0.52319 | AUC 0.8145 | lr 0.021872 | mom 0.971 | 45.8 min
epoca  160 | train 0.52747 | val 0.52537 | AUC 0.8170 | lr 0.021759 | mom 0.972 | 46.1 min
