============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca  115 | train 0.53775 | val 0.53557 | AUC 0.8047 | lr 0.005013 | mom 0.951 | 153.9 min
epoca  116 | train 0.53776 | val 0.53747 | AUC 0.8036 | lr 0.004914 | mom 0.952 | 155.3 min
epoca  117 | train 0.53768 | val 0.53686 | AUC 0.8034 | lr 0.004816 | mom 0.952 | 156.6 min
epoca  118 | train 0.53764 | val 0.53654 | AUC 0.8049 | lr 0.004721 | mom 0.953 | 157.9 min
epoca  119 | train 0.53762 | val 0.53640 | AUC 0.8047 | lr 0.004628 | mom 0.953 | 159.2 min
epoca  120 | train 0.53753 | val 0.53488 | AUC 0.8048 | lr 0.004536 | mom 0.954 | 160.5 min
epoca  121 | train 0.53746 | val 0.53823 | AUC 0.8043 | lr 0.004446 | mom 0.954 | 161.9 min
epoca  122 | train 0.53719 | val 0.53548 | AUC 0.8051 | lr 0.004358 | mom 0.954 | 163.2 min
epoca  123 | train 0.53715 | val 0.53527 | AUC 0.8046 | lr 0.004272 | mom 0.955 | 164.5 min
epoca  124 | train 0.53708 | val 0.53656 | AUC 0.8035 | lr 0.004187 | mom 0.955 | 165.9 min
epoca  125 | train 0.53707 | val 0.53447 | AUC 0.8052 | lr 0.004104 | mom 0.956 | 167.2 min
epoca  126 | train 0.53704 | val 0.53505 | AUC 0.8049 | lr 0.004023 | mom 0.956 | 168.5 min
epoca  127 | train 0.53699 | val 0.53902 | AUC 0.8032 | lr 0.003943 | mom 0.957 | 169.8 min
epoca  128 | train 0.53694 | val 0.53389 | AUC 0.8057 | lr 0.003865 | mom 0.957 | 171.1 min
epoca  129 | train 0.53693 | val 0.53532 | AUC 0.8042 | lr 0.003789 | mom 0.958 | 172.5 min
epoca  130 | train 0.53690 | val 0.53603 | AUC 0.8038 | lr 0.003714 | mom 0.958 | 173.8 min
epoca  131 | train 0.53683 | val 0.53562 | AUC 0.8042 | lr 0.003640 | mom 0.959 | 175.2 min
epoca  132 | train 0.53654 | val 0.53463 | AUC 0.8049 | lr 0.003568 | mom 0.959 | 176.6 min
epoca  133 | train 0.53638 | val 0.54047 | AUC 0.8052 | lr 0.003497 | mom 0.959 | 177.9 min
epoca  134 | train 0.53632 | val 0.53720 | AUC 0.8034 | lr 0.003428 | mom 0.960 | 179.3 min
epoca  135 | train 0.53622 | val 0.53782 | AUC 0.8053 | lr 0.003360 | mom 0.960 | 180.6 min
epoca  136 | train 0.53610 | val 0.53685 | AUC 0.8052 | lr 0.003294 | mom 0.961 | 181.9 min
epoca  137 | train 0.53585 | val 0.53447 | AUC 0.8057 | lr 0.003229 | mom 0.961 | 183.3 min
epoca  138 | train 0.53561 | val 0.53583 | AUC 0.8053 | lr 0.003165 | mom 0.962 | 184.6 min
epoca  139 | train 0.53529 | val 0.53308 | AUC 0.8066 | lr 0.003102 | mom 0.962 | 185.9 min
epoca  140 | train 0.53509 | val 0.53551 | AUC 0.8043 | lr 0.003041 | mom 0.963 | 187.2 min
epoca  141 | train 0.53474 | val 0.53329 | AUC 0.8065 | lr 0.002980 | mom 0.963 | 188.5 min
epoca  142 | train 0.53421 | val 0.53799 | AUC 0.8050 | lr 0.002921 | mom 0.963 | 189.8 min
epoca  143 | train 0.53409 | val 0.53347 | AUC 0.8078 | lr 0.002863 | mom 0.964 | 191.2 min
epoca  144 | train 0.53392 | val 0.53447 | AUC 0.8052 | lr 0.002807 | mom 0.964 | 192.5 min
epoca  145 | train 0.53399 | val 0.53145 | AUC 0.8079 | lr 0.002751 | mom 0.965 | 193.8 min
epoca  146 | train 0.53391 | val 0.53278 | AUC 0.8068 | lr 0.002697 | mom 0.965 | 195.2 min
