============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0, 1, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca  134 | train 0.51861 | val 0.51838 | AUC 0.8203 | lr 0.024909 | mom 0.960 | 38.6 min
epoca  135 | train 0.51891 | val 0.51997 | AUC 0.8189 | lr 0.024780 | mom 0.960 | 38.9 min
epoca  136 | train 0.51952 | val 0.52058 | AUC 0.8176 | lr 0.024651 | mom 0.961 | 39.2 min
epoca  137 | train 0.51979 | val 0.52284 | AUC 0.8155 | lr 0.024523 | mom 0.961 | 39.5 min
epoca  138 | train 0.52025 | val 0.53323 | AUC 0.8194 | lr 0.024396 | mom 0.962 | 39.8 min
epoca  139 | train 0.52020 | val 0.52379 | AUC 0.8143 | lr 0.024270 | mom 0.962 | 40.0 min
epoca  140 | train 0.52052 | val 0.52457 | AUC 0.8138 | lr 0.024144 | mom 0.963 | 40.3 min
epoca  141 | train 0.52091 | val 0.52228 | AUC 0.8153 | lr 0.024018 | mom 0.963 | 40.6 min
epoca  142 | train 0.52129 | val 0.52507 | AUC 0.8163 | lr 0.023894 | mom 0.963 | 40.9 min
epoca  143 | train 0.52118 | val 0.51967 | AUC 0.8192 | lr 0.023770 | mom 0.964 | 41.2 min
epoca  144 | train 0.52144 | val 0.52817 | AUC 0.8116 | lr 0.023647 | mom 0.964 | 41.5 min
epoca  145 | train 0.52157 | val 0.52079 | AUC 0.8169 | lr 0.023524 | mom 0.965 | 41.8 min
